source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J1231.3+3353,1.9529287592518383,3,1.0,0.816496580927726,0.0,2.0,5,3
J1231.5+1420,15.578702714319434,2,0.5,0.5,0.0,1.0,5,2
J1231.5+6414,0.0007094722241163254,1,0.0,0.0,0.0,0.0,5,2
J1231.5-5115,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1231.7+2847,284.84305223789124,5,2.0,1.4142135623730951,0.0,4.0,5,3
J1231.8-0451,32.118121372782525,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1231.8-6512,0.0040080733597278595,1,0.0,0.0,0.0,0.0,5,2
J1231.8-6621,0.0009050074440892786,1,0.0,0.0,0.0,0.0,5,2
J1232.4-0620,190.25616786598607,7,3.0,2.0,0.0,6.0,5,3
J1232.5+4821,34.45878626582612,4,1.5,1.118033988749895,0.0,3.0,5,2
J1232.5-3720,20.397388782308667,2,0.5,0.5,0.0,1.0,5,2
J1232.8+1229,23.480911956608793,3,1.0,0.816496580927726,0.0,2.0,5,2
J1232.9+1335,24.16258185635877,2,0.5,0.5,0.0,1.0,5,2
J1233.1+1702,0.00011185323819518089,1,0.0,0.0,0.0,0.0,5,2
J1233.6+2157,6781.700003928317,45,22.0,12.987173159185437,0.0,44.0,5,2
J1233.7+0153,7112.18293146135,58,28.5,16.740669042783207,0.0,57.0,5,3
J1233.7-0144,291.4501131770107,14,6.5,4.031128874149275,0.0,13.0,5,2
J1233.8+5027,9.654611311595545,2,0.5,0.5,0.0,1.0,5,2
J1234.1-5735,4.4966116547584534e-05,1,0.0,0.0,0.0,0.0,5,2
J1234.3+2814,29.533225073206268,3,1.0,0.816496580927726,0.0,2.0,5,2
J1234.5-6651,0.000992696401226567,1,0.0,0.0,0.0,0.0,5,3
J1234.7-0434,168.1564210140369,12,5.5,3.452052529534663,0.0,11.0,5,2
J1234.7-6739,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1235.1-1404,2.795900163271444,2,0.5,0.5,0.0,1.0,5,2
J1235.9+1136,0.00023066918811309733,1,0.0,0.0,0.0,0.0,5,2
J1236.3+3859,12.532177706455968,2,0.5,0.5,0.0,1.0,5,2
J1236.3-7051,0.0006138626486063004,1,0.0,0.0,0.0,0.0,5,2
J1237.0+3018,0.0014539201614063302,1,0.0,0.0,0.0,0.0,5,2
J1237.1-7234,0.0003468901841188199,1,0.0,0.0,0.0,0.0,5,2
J1237.6+6301,0.0001333985795213266,1,0.0,0.0,0.0,0.0,5,2
J1238.2-1158,427.9022687221335,17,8.0,4.898979485566356,0.0,16.0,5,3
J1238.2-4540,20.97310387028847,2,0.5,0.5,0.0,1.0,5,2
J1238.3-1959,142.10882783464467,7,3.0,2.0,0.0,6.0,5,2
J1238.6-5935,1.240307028638199e-05,1,0.0,0.0,0.0,0.0,5,2
J1238.7-5517,0.00042412754555698484,1,0.0,0.0,0.0,0.0,5,2
J1239.4+0728,213.8665698246842,8,3.5,2.29128784747792,0.0,7.0,5,2
